source_sheet,sku,model,category_slug,brand_slug,condition,quantityTotal,quantityAvailable,dailyPrice,weeklyPrice,monthlyPrice,purchasePrice,depositAmount,requiresDeposit,featured,isActive,requiresAssistant,budgetTier,warehouseLocation,barcode,tags,boxContents,bufferTime,bufferTimeUnit,featuredImageUrl,galleryImageUrls,videoUrl,name_ar,name_en,name_zh,description_ar,description_en,description_zh,shortDescription_ar,shortDescription_en,shortDescription_zh,longDescription_ar,longDescription_en,longDescription_zh,seoTitle_ar,seoTitle_en,seoTitle_zh,seoDescription_ar,seoDescription_en,seoDescription_zh,seoKeywords_ar,seoKeywords_en,seoKeywords_zh,specifications_notes
Camera ,ARRI-ALEXA35-GOLD,ARRI Alexa 35,cameras,arri,Cinema Grade,1,1,,,,,,,TRUE,TRUE,TRUE,Elite,,,"arri, alexa-35, cinema-camera, super-35, 4.6k, arriraw, elite-cinema, netflix-approved, 17-stops","1x Alexa 35 Camera Body, 1x ARRI LPL Mount, 1x PL to LPL Adapter, 1x MVF-2 Viewfinder, 1x Viewfinder Cable, 1x CCH-5 Top Handle, 1x Power Cable (Straight), 2x 2TB Codex Compact Drives, 1x Codex Compact Drive Reader, 1x Production Support Set (Side Brackets/Top Plate), 1x Bridge Plate BP-8, 1x Heavy Duty Flight Case",0,hours,,,,آري أليكسا 35 سينما,ARRI Alexa 35 Cinema Camera,阿莱 Alexa 35 电影机,"آري أليكسا 35 ليست مجرد كاميرا، بل هي قمة التكنولوجيا في التصوير السينمائي الرقمي. بفضل مستشعر ALEV 4 الجديد كلياً، توفر هذه الكاميرا 17 وقفة من النطاق الديناميكي، وهو ما يتجاوز أي كاميرا سينمائية أخرى. تمنحك ألوان بشرة وتفاصيل بصرية بلمسة ""عضوية"" تشبه اللوحات الفنية، مما جعلها الخيار الأول لأضخم أفلام هوليوود والإعلانات العالمية الفاخرة.","The ARRI Alexa 35 is not just a camera; it is the pinnacle of digital cinematography. Featuring the all-new ALEV 4 sensor, it offers a staggering 17 stops of dynamic range—more than any other digital cinema camera in existence. It renders textures and skin tones with a painterly organic quality that has become the definitive 'ARRI Look' for Hollywood blockbusters and high-end fashion films.","ARRI Alexa 35 不仅仅是一款摄像机；它是数字电影摄影的巅峰。它采用全新的 ALEV 4 传感器，提供惊人的 17 档动态范围——超过现有的任何其他数字电影摄影机。它以如画般有机的质感呈现纹理和肤色，这已成为好莱坞大片和高端时尚电影的决定性""ARRI 外观""。",,,,"آري أليكسا 35 ليست مجرد كاميرا، بل هي قمة التكنولوجيا في التصوير السينمائي الرقمي. بفضل مستشعر ALEV 4 الجديد كلياً، توفر هذه الكاميرا 17 وقفة من النطاق الديناميكي، وهو ما يتجاوز أي كاميرا سينمائية أخرى. تمنحك ألوان بشرة وتفاصيل بصرية بلمسة ""عضوية"" تشبه اللوحات الفنية، مما جعلها الخيار الأول لأضخم أفلام هوليوود والإعلانات العالمية الفاخرة.","The ARRI Alexa 35 is not just a camera; it is the pinnacle of digital cinematography. Featuring the all-new ALEV 4 sensor, it offers a staggering 17 stops of dynamic range—more than any other digital cinema camera in existence. It renders textures and skin tones with a painterly organic quality that has become the definitive 'ARRI Look' for Hollywood blockbusters and high-end fashion films.","ARRI Alexa 35 不仅仅是一款摄像机；它是数字电影摄影的巅峰。它采用全新的 ALEV 4 传感器，提供惊人的 17 档动态范围——超过现有的任何其他数字电影摄影机。它以如画般有机的质感呈现纹理和肤色，这已成为好莱坞大片和高端时尚电影的决定性""ARRI 外观""。",استئجار كاميرا آري أليكسا 35 سينما,Rent ARRI Alexa 35 Cinema Camera,租赁 阿莱 Alexa 35 电影机,,"Rent the industry-leading ARRI Alexa 35. Featuring the new ALEV 4 sensor, REVEAL Color Science, and 17 stops of dynamic range. The gold standard for feature films, commercials, and elite cinematography. Available with PL or LPL mount.",,,"ARRI Alexa 35 rental, digital cinema camera, 17 stops dynamic range, ALEV 4 sensor, Hollywood camera rental, high-end film equipment, Netflix approved camera, cinema hire",,"1. SHORT SPECS

- 4.6K Super 35 ALEV 4 CMOS sensor with 17 stops of dynamic range.
- ARRIRAW and Apple ProRes internal recording up to 120 fps.
- REVEAL Color Science for exceptional skin tones and highlight roll-off.
- Integrated electronic ND filters (0.6, 1.2, 1.8) and ARRI Textures.
- Industry-standard B-Mount power interface (24V native).

2. FULL SPECS

sensor_size: Super 35mm (27.99 × 19.22 mm)
sensor_type: ALEV 4 CMOS with Bayer Pattern
resolution: 4608 × 3164 (4.6K)
max_video_resolution: 4.6K (4608 × 3164) up to 75 fps
max_framerate: 120 fps (4K UHD) / 100 fps (4.6K 16:9)
codec: ARRIRAW / Apple ProRes (4444 XQ, 4444, 422 HQ)
log_gamma: LogC4
dynamic_range_stops: 17 stops
base_iso: 160 to 6400 (Enhanced Sensitivity Mode)
color_science: REVEAL Color Science
mount_type: ARRI LPL Mount (PL Adapter included)
weight_kg: 2.9 kg (body only)
dimensions_cm: 14.7 × 15.3 × 20.3 cm
media_type: Codex Compact Drive (1TB or 2TB)
hdmi_output: No (SDI only)
sdi_output: 2× 12G-SDI (Up to 4K60p 4:2:2 10-bit)
audio_inputs: 1× 5-pin LEMO (2-channel Line/Mic)
battery_type: B-Mount (20.5V to 33.6V)

3. TECHNICIAN SPECS

sensor_size: 27.99 × 19.22 mm (33.96 mm diagonal)
effective_pixels: 4608 × 3164
max_video_resolution: 4.6K 3:2 Open Gate up to 75 fps
max_framerate_4k: 120 fps (S35 4K 16:9)
internal_codec: ARRIRAW (.arx), ProRes (.mxf)
color_science: REVEAL (LogC4, AWG4, LogC4 LUTs)
rolling_shutter: < 8ms (Ultra-low)
flange_distance: 44.00 mm (LPL) / 52.00 mm (PL)
sdi_version: 12G-SDI (SMPTE ST2082-10)
timecode_io: 5-pin LEMO (LTC In/Out)
power_draw_watts: ~90 W (Body + MVF-2)
operating_temp: -20 °C to 45 °C"
Camera ,,sony a7siii,,,,2,2,350,1400,4200,,,,,,,,,10000001,,"Camera body
2x Camera battery
2x Memory 162gb
1x battery charger
Camera tripod",0,hours,,,,,سوني A7S III,Sony A7S III,索尼 A7S III,كاميرا سوني A7S III هي وحش التصوير في الإضاءة المنخفضة. توفر فيديو 4K بمعدل 120 إطاراً في الثانية ونطاقاً ديناميكياً يصل إلى 15 وقفة. مثالية لصناع الأفلام الوثائقية والإنتاج السينمائي في السعودية.,"The Sony A7S III is the ultimate low-light beast for filmmakers. Delivering stunning 4K 120p video, 10-bit 4:2:2 internal recording, and 15+ stops of dynamic range. Perfect for documentaries and commercial production in KSA.",索尼 A7S III 是电影制作人的终极低光利器。提供令人惊叹的 4K 120p 视频、10-bit 4:2:2 机内录制以及 15+ 档动态范围。非常适合沙特的纪录片和商业制作。,كاميرا فل فريم فيديو، 4K 120p، أداء استثنائي في الإضاءة المنخفضة بفضل مستشعر 12.1 ميجابكسل.,"Full-frame video powerhouse, 4K 120p, exceptional low-light capabilities with a 12.1MP sensor.",全画幅视频巨兽，4K 120p，1210万像素传感器带来卓越的低光性能。,ارتقِ بإنتاجك مع كاميرا سوني A7S III. بفضل مستشعر Exmor R CMOS بدقة 12.1 ميجابكسل المصمم خصيصاً للفيديو، ستحصل على لقطات خالية من الضوضاء حتى في أظلم الظروف. تدعم الكاميرا تصوير 4K داخلي بعمق ألوان 10 بت وتركيز بؤري تلقائي سريع وهجين. الخيار الأول لشركات الإنتاج في الرياض لتصوير الإعلانات السريعة والوثائقيات.,"Elevate your production with the Sony A7S III. Featuring a 12.1MP Exmor R CMOS sensor specifically tuned for video, you get incredibly clean footage even in the darkest environments. It supports internal 4K 10-bit 4:2:2 recording, phase-detection autofocus, and dual card slots. The top choice for production houses in Riyadh for fast-paced commercial and documentary shoots.",使用索尼 A7S III 提升您的制作水平。配备专为视频调校的 1210 万像素 Exmor R CMOS 传感器，即使在最暗的环境下也能获得极其纯净的画面。支持机内 4K 10-bit 4:2:2 录制和相位检测自动对焦。利雅得制作公司进行快节奏商业和纪录片拍摄的首选。,استئجار كاميرا سوني A7S III في الرياض، السعودية,تأجير معدات فيديو احترافية,"Rent Sony A7S III in Riyadh, KSA",Professional 4K Video Camera Hire,在沙特利雅得租赁索尼 A7S III,专业 4K 摄像机出租,,,
Camera ,SONY-A7RV-BODY,Sony A7R V (A7R5),cameras,sony,Professional Grade,1,1,400,1600,4800,,,,TRUE,TRUE,FALSE,Professional,,,"sony, a7rv, 61mp, high-resolution, mirrorless, 8k-video, photography, ai-autofocus, full-frame","1x Sony A7R V Body, 1x Body Cap, 2x Sony NP-FZ100 Batteries, 1x Sony BC-QZ1 Charger, 1x 160GB CFexpress Type A Card, 1x Card Reader, 1x USB-C Cable, 1x Neck Strap, 1x HDMI Cable Protector, 1x Padded Carry Case",0,hours,,,,سوني A7R V ميرورليس,Sony A7R V Mirrorless Camera,索尼 A7R V 无反相机,سوني A7R V تعيد تعريف التصوير عالي الدقة من خلال دمج مستشعر جبار بدقة 61 ميجابكسل مع وحدة معالجة مخصصة للذكاء الاصطناعي. إنها الأداة المثالية لمصوري الإعلانات وصناع الأفلام الذين يطلبون أدق التفاصيل المجهرية. سواء كنت تصور لوحات إعلانية ضخمة أو فيديو بدقة 8K، توفر هذه الكاميرا دقة لا تضاهى، ونظام تثبيت بـ 8 وقفات، وتركيزاً بؤرياً يتنبأ بحركة البشر.,"The Sony A7R V redefines high-resolution imaging by combining a massive 61MP sensor with a dedicated AI processing unit. This is the ultimate tool for commercial photographers and filmmakers who demand microscopic detail. Whether you are shooting large-scale billboards or cropped 8K video, the A7R V offers unparalleled precision, 8-stop stabilization, and an autofocus system that predicts human movement.",索尼 A7R V 通过将巨大的 61MP 传感器与专用 AI 处理单元相结合，重新定义了高分辨率成像。这是要求微观细节的商业摄影师和电影制作人的终极工具。无论您是拍摄大型广告牌还是裁剪后的 8K 视频，A7R V 都能提供无与伦比的精度、8 档防抖以及能够预测人体动作的自动对焦系统。,,,,سوني A7R V تعيد تعريف التصوير عالي الدقة من خلال دمج مستشعر جبار بدقة 61 ميجابكسل مع وحدة معالجة مخصصة للذكاء الاصطناعي. إنها الأداة المثالية لمصوري الإعلانات وصناع الأفلام الذين يطلبون أدق التفاصيل المجهرية. سواء كنت تصور لوحات إعلانية ضخمة أو فيديو بدقة 8K، توفر هذه الكاميرا دقة لا تضاهى، ونظام تثبيت بـ 8 وقفات، وتركيزاً بؤرياً يتنبأ بحركة البشر.,"The Sony A7R V redefines high-resolution imaging by combining a massive 61MP sensor with a dedicated AI processing unit. This is the ultimate tool for commercial photographers and filmmakers who demand microscopic detail. Whether you are shooting large-scale billboards or cropped 8K video, the A7R V offers unparalleled precision, 8-stop stabilization, and an autofocus system that predicts human movement.",索尼 A7R V 通过将巨大的 61MP 传感器与专用 AI 处理单元相结合，重新定义了高分辨率成像。这是要求微观细节的商业摄影师和电影制作人的终极工具。无论您是拍摄大型广告牌还是裁剪后的 8K 视频，A7R V 都能提供无与伦比的精度、8 档防抖以及能够预测人体动作的自动对焦系统。,استئجار سوني A7R V كاميرا 61 ميجابكسل,Rent Sony A7R V | 61MP 8K Mirrorless Camera,租赁索尼 A7R V 61MP 无反相机,,"Professional Sony A7R V rental featuring 61MP resolution, AI-driven Real-time Tracking AF, 8K 24p recording, and 8-stop IBIS. Perfect for fashion, products, and high-res commercial photography.",,,"Sony A7R V rental, 61MP camera hire, Sony A7R5 mirrorless, 8K video camera rental, commercial photography gear, AI autofocus camera, professional Sony rental",,"1. SHORT SPECS

- 61 MP Full-frame Exmor R BSI sensor with dedicated AI Processing Unit.
- 8K 24p / 4K 60p 10-bit 4:2:2 internal recording.
- AI-based Real-time Tracking AF (Human, Animal, Bird, Insect, Car, Train, Plane).
- 8-stop 5-axis in-body image stabilization (IBIS).
- 4-axis multi-angle 3.2-inch touchscreen LCD.

2. FULL SPECS

sensor_size: Full frame 35.8 × 23.8 mm
sensor_type: Exmor R BSI CMOS, 61.0 MP effective
resolution: 9504 × 6336 (Stills) / 7680 × 4320 (8K)
max_video_resolution: 7680 × 4320 (8K UHD) up to 25p
max_framerate: 60 fps (4K) / 120 fps (1080p)
codec: XAVC HS (8K/4K) / XAVC S-I (All-I 10-bit)
log_gamma: S-Log3, S-Cinetone, HLG
dynamic_range_stops: 15 stops (S-Log3)
base_iso: 100 to 32,000 (Expandable 50 to 102,400)
mount_type: Sony E-mount
weight_kg: 0.72 kg (body + battery + card)
dimensions_cm: 13.1 × 9.7 × 8.2 cm
media_type: Dual slots: CFexpress Type A / SD UHS-II
hdmi_output: 1× HDMI Type A (Full size)
audio_inputs: 3.5 mm Mic, Multi-interface Shoe (XLR via adapter)
battery_type: NP-FZ100 (7.2V / 16.4 Wh)
weather_sealed: Yes (Dust/Moisture resistant)

3. TECHNICIAN SPECS

effective_pixels: 61.0 MP
max_video_resolution: 8K (1.2x crop) 24/25p; 4K (Full-frame/S35) 24/25/30/50/60p
max_framerate_1080p: 120 fps
external_codec: 16-bit RAW via HDMI (compatible with Atomos)
af_system: 693-point Phase-detection with AI-human pose estimation
image_stabilization: 8.0 stops (CIPA standard)
viewfinder: 9.44M-dot QXGA OLED (0.90x magnification)
flange_distance: 18.00 mm
hdmi_version: HDMI 2.1
usb_port: USB-C 3.2 Gen 2 (10 Gbps) with Power Delivery
power_draw_watts: ~4.5 W (Stills) / ~6.6 W (Video record)
operating_temp: 0 °C to 40 °C"
Camera ,,Brinno Construction Trio Pack,,,,2,2,120,480,1200,,,,,,,,,10000003,,"Camera
camera housing
Cage grip
cable
Manual
battery grip
safety cable",0,hours,,,,,حزمة كاميرا برينو لتصوير المشاريع,Brinno Construction Trio Pack,Brinno 建筑工程延时摄影套装,وثّق بناء المستقبل. صُممت حزمة Brinno Construction خصيصاً لمشاريع البناء طويلة الأمد في السعودية، لتوثيق كل خطوة ببطارية تدوم لأشهر وصندوق مقاوم لأقسى الظروف الجوية.,"Document the building of the future. Designed specifically for long-term construction projects in KSA, the Brinno Construction pack records every milestone with months of battery life and a rugged, weather-resistant housing.",记录未来的建设。Brinno 建筑套装专为沙特的长期建筑项目而设计，以长达数月的电池寿命和坚固的全天候防水壳记录每一个里程碑。,كاميرا تايم لابز (Time-lapse) للمقاولات، جودة HDR، بطارية تدوم لأشهر، ومقاومة للماء للعمل في مواقع البناء.,"Long-term construction time-lapse camera, HDR quality, months of battery life, weather-proof for building sites.",长期建筑延时摄影机，HDR 画质，数月电池寿命，专为建筑工地设计的全天候防风雨壳。,لا تفوت أي لحظة من مشروعك الضخم. في خضم النهضة العمرانية في الرياض ومشاريع مثل نيوم، تُعد كاميرا Brinno الأداة المثالية لشركات المقاولات. تسجل الكاميرا فيديو بتقنية Time-lapse بجودة 1080p HDR، مجهزة بحافظة مقاومة للماء (IPX4) ومشبك تثبيت صناعي ليتحمل أقسى بيئات العمل. والأهم من ذلك، تعمل الكاميرا ببطاريات AA يمكنها الصمود لأكثر من 100 يوم من التصوير المستمر. استأجرها لتوثيق إنجازاتك.,"Don't miss a single moment of your mega-project. Amidst the construction boom in Riyadh and projects like NEOM, the Brinno Construction camera is the ultimate tool for contractors. It captures 1080p HDR time-lapse video, housed in an IPX4 weather-resistant casing with an industrial-grade clamp mount to survive the harshest job sites. Crucially, it runs on AA batteries that can last for over 100 days of continuous shooting. Rent it to document your legacy.",绝不错过大型项目的任何一个瞬间。在利雅得和 NEOM 等项目的建设热潮中，Brinno 建筑工程相机是承包商的终极工具。它可拍摄 1080p HDR 延时视频，配备 IPX4 全天候防水壳和工业级夹具底座，以抵御最恶劣的工地环境。最重要的是，它使用 AA 电池，可持续拍摄 100 天以上。租赁它来记录您的丰功伟业。,استئجار كاميرا برينو لتصوير المشاريع في الرياض,تأجير كاميرات تايم لابز للمقاولات,Rent Brinno Construction Time-Lapse Camera in Riyadh,Construction Site Camera Hire KSA,在利雅得租赁 Brinno 建筑工程延时摄影机,工地摄影机出租 KSA,,,
Camera ,,Gopro 13Black,,,,2,2,90,360,1080,,,,,,,,,10000004,,,0,hours,,,,,Gopro 13Black,,,,,,,,,,,,,,,,,,,,
Camera ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camera ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camera ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camera ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camera ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
